symbol,rank,company_name_vi,company_name_en,exchange,ref_price,ceiling,floor,source,verified,updated_date
ACB,1,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,hose,25650,27400,23900,ssi_api_official,True,2025-09-27
ANV,2,Công ty Cổ phần Nam Việt,Nam Viet Corporation,hose,28150,30100,26200,ssi_api_official,True,2025-09-27
BCM,3,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Investment and Industrial Development Joint Stock Corporation,hose,67400,72100,62700,ssi_api_official,True,2025-09-27
BID,4,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Joint Stock Commercial Bank for Investment and Development of Vietnam,hose,40900,43750,38050,ssi_api_official,True,2025-09-27
BMP,5,Công ty Cổ phần Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,hose,148000,158300,137700,ssi_api_official,True,2025-09-27
BSI,6,Công ty Cổ phần Chứng khoán BIDV,BIDV Securities Joint Stock Company,hose,47200,50500,43900,ssi_api_official,True,2025-09-27
BVH,7,Tập đoàn Bảo Việt,BaoViet Holdings,hose,56500,60400,52600,ssi_api_official,True,2025-09-27
BWE,8,Công ty Cổ phần - Tổng Công ty Nước – Môi trường Bình Dương,Binh Duong Water - Environment Corporation - Joint Stock Company,hose,49200,52600,45800,ssi_api_official,True,2025-09-27
CII,9,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh City Infrastructure Investment Joint Stock Company,hose,26100,27900,24300,ssi_api_official,True,2025-09-27
CMG,10,Công ty Cổ phần Tập đoàn Công nghệ CMC,CMC Corporation,hose,39900,42650,37150,ssi_api_official,True,2025-09-27
CTD,11,Công ty Cổ phần Xây dựng COTECCONS,Coteccons Construction Joint Stock Company,hose,82700,88400,77000,ssi_api_official,True,2025-09-27
CTG,12,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Viet Nam Joint Stock Commercial Bank for Industry and Trade,hose,50300,53800,46800,ssi_api_official,True,2025-09-27
CTR,13,Tổng Công ty Cổ phần Công trình Viettel,Viettel Construction Joint Stock Corporation,hose,90500,96800,84200,ssi_api_official,True,2025-09-27
CTS,14,Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam,Vietnam Bank for Industry and Trade Securities Joint Stock Company,hose,41200,44050,38350,ssi_api_official,True,2025-09-27
DBC,15,Công ty Cổ phần Tập đoàn DABACO Việt Nam,DABACO Group,hose,27700,29600,25800,ssi_api_official,True,2025-09-27
DCM,16,Công ty Cổ phần Phân bón Dầu khí Cà Mau,PetroVietnam Ca Mau Fertilizer Joint Stock Company,hose,37700,40300,35100,ssi_api_official,True,2025-09-27
DGC,17,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Duc Giang Chemicals Group Joint Stock Company,hose,96500,103200,89800,ssi_api_official,True,2025-09-27
DGW,18,Công ty Cổ phần Thế Giới Số,Digiworld Corporation,hose,42400,45350,39450,ssi_api_official,True,2025-09-27
DIG,19,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Development Investment Construction Joint Stock Company,hose,25300,27050,23550,ssi_api_official,True,2025-09-27
DPM,20,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Petrovietnam Fertilizer And Chemicals Corporation,hose,26650,28500,24800,ssi_api_official,True,2025-09-27
DSE,21,Công ty Cổ phần Chứng khoán DNSE,DNSE Securities Join Stock Company,hose,29400,31450,27350,ssi_api_official,True,2025-09-27
DXG,22,Công ty Cổ phần Tập đoàn Đất Xanh,Dat Xanh Group Joint Stock Company,hose,23200,24800,21600,ssi_api_official,True,2025-09-27
DXS,23,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dat Xanh Real Estate Services Joint Stock Company,hose,13100,14000,12200,ssi_api_official,True,2025-09-27
EIB,24,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,Vietnam Export Import Commercial Joint Stock Bank,hose,26200,28000,24400,ssi_api_official,True,2025-09-27
