time,open,high,low,close,volume,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_net_vol,foreign_net_val
2025-01-02,19.17,19.35,19.03,19.17,2222572,7000.0,220000.0,145950000.0,4550100000.0,-213000.0,-4404150000.0
2025-01-03,19.12,19.31,18.84,18.93,4007605,56300.0,172200.0,1151365000.0,3531435000.0,-115900.0,-2380070000.0
2025-01-06,18.93,18.98,18.06,18.15,9646691,79600.0,256000.0,1558325000.0,5166555000.0,-176400.0,-3608230000.0
2025-01-07,18.33,18.33,17.22,17.45,10396972,334000.0,194700.0,6292725000.0,3740130000.0,139300.0,2552595000.0
2025-01-08,17.36,17.92,17.27,17.87,4404277,198100.0,2000.0,3799355000.0,37700000.0,196100.0,3761655000.0
2025-01-09,17.87,18.01,17.55,17.59,2806860,114300.0,98700.0,2171025000.0,1894780000.0,15600.0,276245000.0
2025-01-10,17.59,17.73,16.71,16.71,5199868,180500.0,173381.0,3332100000.0,3264092100.0,7119.0,68007900.0
2025-01-13,16.67,17.45,16.53,17.36,6192563,1489900.0,118900.0,27255100000.0,2181500000.0,1371000.0,25073600000.0
2025-01-14,17.36,17.41,16.99,17.04,1856117,55000.0,311100.0,1012280000.0,5769395000.0,-256100.0,-4757115000.0
2025-01-15,17.08,17.41,17.08,17.41,2946021,3200.0,68400.0,59540000.0,1270070000.0,-65200.0,-1210530000.0
2025-01-16,17.45,17.68,17.13,17.22,3877794,105400.0,802000.0,1961600000.0,15059210000.0,-696600.0,-13097610000.0
2025-01-17,17.36,17.55,17.22,17.45,2509579,133700.0,73300.0,2513895000.0,1376200000.0,60400.0,1137695000.0
2025-01-20,17.55,17.55,17.22,17.41,2511114,20700.0,100900.0,387040000.0,1894880000.0,-80200.0,-1507840000.0
2025-01-21,17.36,17.41,17.04,17.04,4099210,109600.0,6000.0,2018940000.0,111700000.0,103600.0,1907240000.0
2025-01-22,17.08,17.22,16.76,16.99,2948461,100400.0,223600.0,1842270000.0,4115800000.0,-123200.0,-2273530000.0
2025-01-23,17.04,17.41,16.9,17.22,3857029,507900.0,17600.0,9458210000.0,323670000.0,490300.0,9134540000.0
2025-01-24,17.36,17.78,17.36,17.68,7555716,2350700.0,264800.0,44808615000.0,5038385000.0,2085900.0,39770230000.0
2025-02-03,17.59,17.78,17.31,17.31,3131178,203300.0,93500.0,3827450000.0,1786645000.0,109800.0,2040805000.0
2025-02-04,17.5,17.73,17.22,17.64,5296784,282600.0,644172.0,5334315000.0,12076845850.0,-361572.0,-6742530850.0
2025-02-05,17.82,18.61,17.78,18.29,11735573,2847900.0,676900.0,56220635000.0,13384825000.0,2171000.0,42835810000.0
2025-02-06,18.15,18.43,18.01,18.33,5443143,1551200.0,72008.0,30483150000.0,1410331800.0,1479192.0,29072818200.0
2025-02-07,18.33,18.33,18.01,18.01,4085967,57800.0,133317.0,1133560000.0,2617204050.0,-75517.0,-1483644050.0
2025-02-10,17.82,17.82,17.41,17.41,7143581,1100.0,1243100.0,20890000.0,23649585000.0,-1242000.0,-23628695000.0
2025-02-11,17.55,17.55,17.31,17.5,3535840,37300.0,514900.0,701240000.0,9680650000.0,-477600.0,-8979410000.0
2025-02-12,17.55,17.68,17.36,17.36,2565344,30500.0,325000.0,576435000.0,6138830000.0,-294500.0,-5562395000.0
2025-02-13,17.41,17.55,17.22,17.55,2751999,183700.0,269100.0,3460120000.0,5040000000.0,-85400.0,-1579880000.0
2025-02-14,17.59,17.78,17.55,17.68,4473412,308000.0,277400.0,5881430000.0,5289555000.0,30600.0,591875000.0
2025-02-17,17.82,17.96,17.68,17.68,5524215,222700.0,505600.0,4282350000.0,9728260000.0,-282900.0,-5445910000.0
2025-02-18,17.68,18.15,17.68,17.78,4765730,223500.0,498100.0,4344080000.0,9619960000.0,-274600.0,-5275880000.0
2025-02-19,17.87,18.24,17.78,18.1,7631245,158000.0,638500.0,3066985000.0,12458605000.0,-480500.0,-9391620000.0
2025-02-20,18.1,18.52,17.96,17.96,8573606,248900.0,218600.0,4884110000.0,4328875000.0,30300.0,555235000.0
2025-02-21,17.92,17.96,17.68,17.73,6169628,146200.0,880200.0,2811065000.0,16902055000.0,-734000.0,-14090990000.0
2025-02-24,17.82,17.92,17.59,17.92,5897286,197500.0,819300.0,3796360000.0,15713170000.0,-621800.0,-11916810000.0
